Placeholder Header,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Material,Atmosphere,Mass,Tube Diam,Pretreat_voltage,Pretreat_highest,Voltage,PulseTime,Res_Volt,Cap,Init_R,Fin_R,Volt_Drop,Res_Drop,Yield,Yield_Per,I_Max,I_Mean,Charge_Tot,PulseTime_I,I_Final,Maxima,Graphene_Yield,TwoDtoG,DtoG,FWHM 2D
36,CB,air,122,8,80,80,185,100,152,78,1.5,0.7,33,0.8,75.2,0.616393443,87.4605,44.1847250255668,3.62920777796374,0.08285,37.331894231288,1,0.825396825,0.838247265,0.565951245,49.26747807
37,CB,arg,156.3,8,240,100,190,70,129,114,1.4,0.1,61,1.3,114.3,0.731285988,183.755,121.600097349543,6.65087164958352,0.0549,70.964859229799,1,0.797979798,0.843328501,0.53458713,46.48689568
38,CB,vac,144,8,205,100,200,800,37.7,132,1.9,0.6,162.3,1.3,113,0.784722222,244.5123,27.5976160268352,18.2099388879141,0.74145,10.208976862707,4,0.888888889,0.91008129,0.532247056,48.86994772
39,CB,vac,235,8,340,130,240,500,72,114,2.8,0.4,168,2.4,203,0.863829787,288.0741,31.8618461970976,15.2246535988036,0.48325,18.616676589794,4,0.968253968,1.063568503,0.470787252,48.59206125
40,CB,air,146.8,8,240,80,200,40,182.2,150,0.9,1,17.8,-0.1,120.8,0.822888283,216.2353,133.223769135529,3.04970041854541,0.023,213.538484663913,1,0.717171717,0.656013145,0.794903802,53.54852148
41,CB,vac,200,8,340,130,250,100,159,96,1.3,0.9,91,0.4,171,0.855,316.7332,96.5709845485453,8.15493616255988,0.085450000000001,46.926460795437,2,0.920634921,0.848323582,0.498537926,49.44775481
42,CB,air,156,8,100,60,190,225,123,96,1.3,0.8,67,0.5,117.5,0.753205128,121.4693,32.831783089728,6.77930006003361,0.20845,15.567960404498,5,0.80952381,0.83106155,0.551464486,49.3845231
43,CB,vac,134.7,8,250,50,120,400,9.7,78,1,0.3,110.3,0.7,120.5,0.894580549,141.7217,31.8088426297318,11.6702505293901,0.382099999999999,12.479962170206,1,0.755102041,1.058738788,0.639250103,47.90700504
44,CB,air,168,8,120,40,120,80,95.8,60,1.5,1.1,24.2,0.4,158,0.940476191,87.4605,38.2863366050802,2.25644757098543,0.05955,33.566703180992,2,0.04040404,0.845509616,0.505605654,27.76007292
45,CB,vac,200,8,340,130,250,1200,12,96,2.1,1.1,238,1,169,0.845,217.3817,42.6873867267267,19.8384210857297,0.4788,18.671396331568,2,0.936507937,0.851975856,0.52757818,52.49035551
46,CB,air,155,8,180,80,190,600,73,96,1.3,1,117,0.3,129.2,0.833548387,145.5429,21.2896046253867,11.9407455060862,0.5798,10.537142362773,2,0.857142857,0.888754332,0.667790145,54.652571
47,CB,air,236.2,8,70,70,110,340,30.3,96,1.8,1.3,79.7,0.5,193.6,0.819644369,65.6796,27.2649017924447,8.67928053822022,0.321000000000001,16.323946591094,4,0.202020202,0.523007081,0.862586117,37.06362082
48,CB,air,158,8,80,80,210,350,96,96,1.6,0.8,114,0.8,126.5,0.800632911,193.3081,114.1420125,1.568654439,0.0138,184.8622274,1,0.968253968,0.952005104,0.590050549,51.62883264
49,CB,arg,209.6,8,200,80,130,450,87.8,114,1.7,0.5,42.2,1.2,121.6,0.580152672,138.6647,37.14872316,12.26229407,0.33335,15.14747545,3,0.414141414,0.61850772,0.781034976,42.81635345
50,CB,vac,102,8,80,40,200,340,136,96,1.2,0.1,64,1.1,112,1.098039216,323.9935,61.0668789877691,10.4204720616906,0.3237,20.796594443966,3,0.822916667,0.787197235,0.686853915,53.37098224
51,CB,vac,165,8,0,0,155,120,143.7,132,1.4,0.8,11.3,0.6,51,0.309090909,86.31414,22.2126640224889,2.04631215144911,0.104150000000001,29.656458964974,2,0.402061856,0.683026947,0.772545997,52.02259934
52,CB,vac,146,8,160,80,180,400,102,132,1.4,0.5,78,0.9,115,0.787671233,189.869,35.816430665671,13.5810928625441,0.3839,20.079126067306,2,0.928571429,1.000820995,0.352484023,48.92295656
53,CB,vac,199,8,210,70,200,110,161,114,1.3,0.3,39,1,135,0.67839196,168.4702,74.1346793086291,6.74207331558004,0.0919,37.219130295435,1,0.888888889,0.869299154,0.609935452,52.64290297
54,CB,vac,152,8,200,80,190,650,65,60,1.4,0.1,125,1.3,129,0.848684211,284.635,35.9234719365421,22.3796252938176,0.63025,14.336568462144,1,0.726315789,0.869485862,0.503801775,47.14813324
55,CB,vac,141,8,120,40,160,390,78,60,1.2,0.1,82,1.1,100,0.709219858,209.3571,38.3395568215573,14.2273137305147,0.37565,20.042327804985,1,0.475609756,0.763991217,0.589465908,49.64859563
56,CB,air,199,8,180,60,180,500,108,114,1.8,0.3,72,1.5,100,0.502512563,177.259,26.0139261872642,12.4263184413203,0.48325,13.165752716362,2,0.781512605,0.876653233,0.500749389,48.84912643
57,CB,air,200,8,240,100,190,500,52,114,2,0.8,138,1.2,108,0.54,154.3317,49.2677108780178,23.5494629932462,0.482450000000001,32.219156426658,10,0.808510638,0.922320026,0.427815014,48.6820742
58,MC,vac,267,8,180,60,210,150,79,96,0.4,0.3,131,0.1,214,0.801498127,539.8919,100.984224806111,13.6928828911325,0.13655,46.523935522556,2,0.174603175,0.595137982,0.412174671,40.65976843
59,MC,vac,240.8,8,300,100,190,300,28.1,114,0.1,0.1,161.9,0,206.4,0.857142857,572.7543,62.2396989428634,17.2583788531642,0.281700000000001,15.894940336841,3,0.633333333,0.609752351,0.458664678,41.41798858
60,MC,arg,220.5,8,240,100,170,520,3.8,96,0.2,0.2,166.2,0,192.4,0.872562358,509.3222,61.0606002712265,17.8139442621324,0.30635,10.863702958116,4,0.358333333,0.539904088,0.480229063,40.66246341
61,MC,air,337,8,350,70,215,320,50.8,150,0.1,0.1,164.2,0,327.4,0.971513353,493.6553,98.94093448,19.83224227,0.23015,8.214572707,1,0.3,0.545128728,0.556429047,40.90250398
62,MC,air,372,8,180,100,220,430,30,114,0.8,0.4,190,0.4,312,0.838709677,370.9944,73.5478472981591,19.7397868907827,0.28035,9.870723363174,1,0.206349206,0.5211345,0.54598376,51.44365954
63,MC,air,291,8,150,50,195,124,6.5,96,0.4,0.3,188.5,0.1,283,0.972508591,494.0374,185.873102532305,19.9529910459712,0.10795,29.218396435426,1,0.523809524,0.601592683,0.636623031,40.72988161
64,MC,vac,275,8,200,80,175,65,47.2,96,0.7,0.6,127.8,0.1,267,0.970909091,420.6701,290.860805032947,13.2180590567917,0.04565,223.306483114355,2,0.428571429,0.474371749,0.736841094,40.15203351
65,MC,arg,221,8,90,70,200,189,4.6,114,0.4,0.2,195.4,0.2,206,0.932126697,445.1259,129.50400046126,21.5425412302984,0.1695,12.806139644909,1,0.650793651,0.676060015,0.522373166,39.57361385
66,MC,air,262,8,90,30,185,40,108,114,0.7,0.3,77,0.4,256,0.977099237,496.7122,344.493682746994,7.92162282894928,0.02335,464.905899631777,1,0.031746032,0.474319583,1.055417702,28.62637918
67,MC,arg,183,8,100,70,220,176,5.7,132,0.4,0.2,214.3,0.2,169,0.923497268,669.0488,152.583881267418,24.2602918040857,0.15975,12.052713674336,1,0.523809524,0.748714272,0.288072569,33.89473805
68,MC,arg,217,8,120,40,210,156,5.5,96,0.3,0.1,204.5,0.2,209,0.963133641,617.8446,161.589407719228,22.5653775679997,0.14055,15.103493311423,1,0.444444444,0.621364917,0.651640005,40.92320071
69,MC,vac,284,8,225,120,200,50,79.5,96,0.4,0.3,120.5,0.1,259,0.911971831,554.4125,396.303855050216,12.7389815945222,0.03225,404.087116345706,1,0.238095238,0.634835172,0.568340944,39.22906901
70,MC,vac,272,8,83,83,205,78,23.1,114,0.4,0.1,181.9,0.3,262,0.963235294,569.3152,318.654563736295,19.2938693847445,0.06075,124.486186762719,1,0.349206349,0.606746731,0.623562455,41.29044134
71,MC,arg,242,8,150,75,225,350,5.3,114,0.4,0.1,219.7,0.3,239,0.987603306,685.4801,136.65237196301,24.6584883302133,0.20925,10.554414238433,1,0.253968254,0.443599723,0.714157468,37.62623736
72,MC,air,319,8,225,75,225,168,6.5,132,0.4,0.1,218.5,0.3,304,0.952978056,623.5764,159.865921619469,23.9554083778353,0.1504,15.54029484336,1,0.26984127,0.503610931,0.700722339,41.56370025
73,MC,air,257,8,80,80,215,195,6.3,96,0.6,0.1,208.7,0.5,249,0.968871595,648.4143,135.203410883637,23.4302504510524,0.177,10.204162136666,1,0.126984127,0.612649964,0.655222651,39.77781842
74,MC,air,235,8,195,110,225,95,15.6,96,0.3,0.1,209.4,0.2,226,0.961702128,576.5755,295.365434665648,22.4027509341065,0.07605,72.045991158067,2,0.53968254,0.744923695,0.543656473,39.89677561
75,MC,vac,266,8,255,135,240,123,6.9,114,0.3,0.1,233.1,0.2,254,0.954887218,703.4397,242.999318755757,24.9796893935246,0.103,26.185729343792,1,0.525252525,0.672488605,0.621989472,35.78735247
76,MC,arg,261,8,100,50,220,70,31.2,114,0.3,0.1,188.8,0.2,245,0.938697318,651.0892,399.298577770545,19.943566684204,0.05025,205.44074669547,1,0.464646465,0.522099636,0.803454065,34.12275186
77,MC,vac,309,8,130,100,235,192,6.3,132,0.3,0.1,228.7,0.2,286,0.925566343,636.1864,148.774433811208,25.4250347086157,0.17305,13.950741895175,1,0.535353535,0.830536104,0.335249794,33.88495461
78,MC,vac,286,8,300,120,210,350,37,114,0.6,0.3,173,0.3,253,0.884615385,584.218,58.8795503261391,18.1226227591242,0.329650000000001,20.182833727861,4,0.666666667,0.652887145,0.454517881,38.70232693
79,MC,arg,312.9,8,120,120,220,500,34,132,0.4,0.3,186,0.1,303.5,0.969958453,523.4607,59.03366478003,21.8153919507943,0.41635,16.664491814802,4,0.555555556,0.580871179,0.543535679,31.98626737
80,MC,vac,205.7,8,400,120,185,400,23.5,96,0.4,0.1,161.5,0.3,175.7,0.854156539,370.2301,51.890862269916,17.1780759493702,0.34295,16.286766208898,5,0.316666667,0.558461914,0.546717503,42.29369076
81,PA,arg,355.4,8,240,120,215,100,103.6,132,7.5,0.8,111.4,6.7,334.3,0.940630276,249.4799,150.105284958782,12.6681825081438,0.08495,88.584462549422,2,0.313131313,0.551694047,0.455836322,40.62844895
82,PA,vac,305.6,8,240,80,200,480,15.08,78,7,0.6,184.92,6.4,1,1,202.0968,48.3566453485384,19.7145672499396,0.41705,16.383595689598,5,0.484848485,0.587509086,0.469279915,41.75351609
83,PA,vac,346.6,8,400,120,180,700,4.5,118,7.1,1.2,175.5,5.9,177.5,51.21177149,210.1214,60.3004428830022,17.6223513935733,0.31305,13.26411068266,1,0.232323232,0.556256789,0.607161047,44.59925578
84,PA,vac,214.7,8,210,80,200,420,3.2,96,3.4,0.3,196.8,3.1,159.3,74.19655333,345.7744,67.3259795651975,20.8369369295205,0.3266,18.627949162128,1,0.565656566,0.624927726,0.453668267,38.40751074
85,PA,arg,378.7,8,120,60,160,540,2.7,150,6.8,1.2,157.3,5.6,260,68.65592818,154.7138,64.1929110606898,20.8461369289508,0.3345,15.568457164154,3,0.484848485,0.614029497,0.516692112,40.05643999
86,PA,air,311.5,8,120,40,210,360,47.2,118,6.2,0.8,162.8,5.4,278.8,89.5024077,173.4378,51.3835655164222,17.503290381888,0.343700000000002,27.046493124084,3,0.303030303,0.594604227,0.478030825,36.23648772
87,PA,vac,342,8,205,105,200,75,120.2,132,9.6,1.5,79.8,8.1,266,77.77777778,280.0495,161.89669950057,9.5512607124293,0.0594,75.176901587011,1,0.303030303,0.54913134,0.570582979,47.848196
88,PA,vac,230,8,0,0,120,50,108,78,6.4,1.8,12,4.6,187,81.30434783,70.26505,38.2475665450132,1.16598425070188,0.0316,68.266623420423,1,0,0,0,0
89,PA,vac,257,8,260,110,210,360,22.3,96,7.7,1.6,187.7,6.1,184,71.59533074,401.5641,79.0989625391395,19.533044690224,0.2538,18.244147830494,3,0.525252525,0.628102564,0.4413226,38.80577211
90,PA,vac,204,8,260,110,220,560,7.1,114,5.2,1.3,212.9,3.9,135,66.17647059,497.8586,113.1098814,21.42253111,0.2103,6.742412356,1,0.303030303,0.664274683,0.424380401,36.02178355
91,PA,vac,293,8,240,120,215,90,126.4,150,6.8,1.2,88.6,5.6,183,62.45733788,386.2792,160.393618584644,11.5797676249659,0.07285,20.484096906666,1,0.747474747,0.749079157,0.401135374,42.01029518
92,PA,vac,227,8,75,55,120,40,110.8,60,5,1.9,9.2,3.1,185,81.49779736,78.67172,47.3658329817691,0.859061596486135,0.018450000000001,74.851182659455,1,0,0,0,0
93,PA,vac,204,8,115,65,190,50,139.3,132,6.9,1.6,50.7,5.3,154,75.49019608,298.0092,189.0555083563,5.98293384003163,0.03175,255.533725405273,1,0.434343434,0.618229527,0.393533578,41.95761408
94,PA,vac,391,8,120,90,130,100,80.2,60,7.5,1.3,49.8,6.2,310,79.28388747,77.52535,60.8259004421503,4.74394578908472,0.0786,58.400408060099,1,0,0,0,0
95,PA,arg,223.4,8,180,60,185,110,71.5,114,4.5,0.5,113.5,4,177.9,0.796329454,247.1871,129.123676540247,11.7819034387461,0.0916,56.011661029014,1,0.727272727,0.793984261,0.320622415,37.76504422
96,PA,arg,257.2,8,240,120,220,275,38.47,96,6.5,1.4,181.53,5.1,155.3,0.603810264,330.8717,98.1086672575632,19.2925661798902,0.22335,14.8412446926,1,0.494949495,0.722342316,0.377238284,37.40372285
97,PA,vac,297,8,240,80,184,332,60.6,132,6.7,0.8,123.4,5.9,215,72.39057239,286.5456,52.0747946286241,16.3015366618927,0.3151,21.210630461079,1,0.626262626,0.580187088,0.58436177,44.75564318
98,PA,vac,354,8,200,125,200,244,68.6,114,6.8,0.8,131.4,6,281,79.37853107,322.8471,76.0818401130131,17.3156814713011,0.229,30.39494291376,1,0.767676768,0.730114571,0.437877159,40.84498543
99,PA,vac,358,8,260,110,198,227,44.4,150,6.5,0.9,153.6,5.6,264,73.74301676,349.5956,97.0609019811081,20.3191755041586,0.2107,31.121047228063,2,0.777777778,0.642061747,0.546828658,45.49770512
100,PA,vac,257,8,264,66,189,203,79.8,114,4.9,1.2,109.2,3.7,164,63.81322957,259.0329,77.4845052551881,14.392219585143,0.18655,30.033495664071,2,0.434343434,0.608647007,0.501244977,42.84648499
101,PA,vac,302,8,220,105,211,187,78.2,168,6.8,0.8,132.8,6,206,68.21192053,332.018,109.741842603719,18.9243217413395,0.17385,38.782430436134,2,0.828282828,0.720485768,0.461906635,42.77824138
102,PA,vac,237,8,200,100,189,332,62.7,150,4.7,0.5,126.3,4.2,172,72.57383966,331.2538,53.4612123950336,16.7755566015971,0.3165,16.595594288437,1,0.848484848,0.730784567,0.47906472,43.30691587
103,PA,vac,313,8,160,95,183,190,43.2,96,6.6,0.9,139.8,5.7,235,75.0798722,269.3502,107.212089780184,18.5365120241173,0.17415,22.922337529461,1,0.737373737,0.686696846,0.465397476,40.15321456
104,PA,vac,222,8,290,130,215,178,25.1,114,3.8,0.8,189.9,3,123,55.40540541,500.5334,158.553456501289,25.0666706576369,0.15855,24.653121336836,1,0.727272727,0.666167402,0.46070826,45.32832978
105,PA,vac,233,8,240,100,195,190,35.5,168,5.1,0.9,159.5,4.2,106,45.49356223,352.6526,89.5652035946419,17.2183767512843,0.1934,24.620220711677,2,0.494949495,0.567609087,0.558003286,43.45106867
106,PA,vac,269,8,225,90,194,253,58.7,132,4.5,1,135.3,3.5,116,43.12267658,346.5386,158.749330450646,18.2317964595864,0.11555,24.657095405369,2,0.828282828,0.662004882,0.498995071,41.76913936
107,PA,vac,270,8,195,65,181,277,49.8,186,4.9,0.7,131.2,4.2,188,69.62962963,274.3177,84.8584997532167,21.689294430141,0.2566,33.116220622935,6,0.808080808,0.735075489,0.462056027,45.29518596
108,PA,vac,292,8,300,115,203,164,71.2,96,7.3,0.8,131.8,6.5,178,60.95890411,353.4168,116.288323049303,17.0997315695195,0.1482,22.509877111527,3,0.626262626,0.700137608,0.425723857,41.98832982
109,PA,vac,267,8,190,120,216,301,72.8,96,4.9,0.7,143.2,4.2,168,62.92134831,458.8822,66.8171384634395,18.6381439424183,0.28175,18.343307162848,2,0.757575758,0.720058399,0.485655574,41.95789618
110,PA,vac,277,8,320,80,207,155,132.5,114,5.7,1.3,74.5,4.4,224,80.86642599,355.7095,73.1677467784654,9.97584797967919,0.13735,21.6120857913,2,0.616161616,0.559496796,0.552659705,44.17688475
111,PA,vac,273,8,295,125,209,198,46.3,132,4.8,0.7,162.7,4.1,197,72.16117216,471.1101,119.515126947966,21.5958951020912,0.1818,36.133106125055,2,0.787878788,0.733326251,0.448719416,42.74589421
112,PA,vac,348,8,200,120,209,202,77.6,150,4.8,0.8,131.4,4,205,58.90804598,383.9865,135.525730621112,23.574121716009,0.1743,45.973413668827,2,0.707070707,0.680550595,0.474430189,43.15055719
113,PA,vac,310,8,210,110,196,179,56.1,114,6.7,1.1,139.9,5.6,198,63.87096774,286.5456,112.593329251125,18.1270391947751,0.1621,27.122801620069,2,0.878787879,0.765000243,0.430418096,41.67635098
114,PA,vac,245,8,300,100,204,305,23.2,186,4.7,0.6,180.8,4.1,89,36.32653061,461.175,134.739014181662,29.1503082483181,0.21805,21.2040961916,4,0.707070707,0.665219813,0.49051577,43.7554946
115,PA,air,212,8,240,100,180,500,73.3,114,16.2,3,106.7,13.2,138,0.650943396,247.5693,39.5428247493705,18.7981759153285,0.48035,15.582289944259,5,0.769230769,0.656134378,0.398971346,43.75736672
116,PA,air,321,8,240,100,160,220,54,114,7.6,1,106,6.6,100,0.31152648,223.1135,93.7435194942599,18.860628846307,0.2028,39.240363261407,4,0.492753623,0.601806211,0.513293612,38.07293393
117,MC,vac,302,8,200,125,217,178,6.9,114,0.3,0.2,210.1,0.1,268,0.887417219,605.2346,182.146362549711,28.368586257308,0.1564,23.174040690642,1,0.303030303,0.483977555,0.559179807,40.42544106
118,MC,vac,268,8,260,110,205,142,50.7,132,0.2,0.2,154.3,0,154,0.574626866,633.1295,160.032894179178,20.2348263439202,0.12685,101.558240736315,3,0.353535354,0.59392871,0.52544447,37.52526142
119,MC,vac,288,8,140,95,196,168,77.8,96,0.3,0.2,118.2,0.1,225,0.78125,545.2416,106.439317628567,15.6938232597785,0.1512,40.022029074142,4,0.535353535,0.563758495,0.535672202,40.71768105
120,MC,vac,303,8,180,100,182,194,3.9,114,0.4,0.2,178.1,0.2,254,0.838283828,468.8174,136.705817058525,24.2099660767744,0.17805,16.694755808384,2,0.161616162,0.528269544,0.589443731,36.90355553
121,MC,vac,339,8,310,110,216,115,118.5,96,0.3,0.2,97.5,0.1,291,0.85840708,559.3801,138.079383567623,12.8063303401101,0.098700000000001,41.601522238782,3,0.404040404,0.608577165,0.539161184,41.65742407
122,MC,vac,304,8,180,120,188,193,25.5,132,0.2,0.2,162.5,0,194,0.638157895,516.9646,127.465171178983,22.2802921330662,0.1755,26.534260900665,4,0.090909091,0.428924719,0.773616507,45.15499205
123,MC,vac,271,8,150,90,194,105,89.7,114,0.2,0.2,104.3,0,249,0.918819188,513.9077,157.419136945793,13.8130019703858,0.08815,41.879868150351,2,0.383838384,0.573695262,0.463201241,39.09255273
124,MC,vac,273,8,205,105,214,238,62.8,96,0.3,0.2,151.2,0.1,228,0.835164835,615.1698,102.623336490992,19.9801130535717,0.2189,36.511673487653,4,0.292929293,0.545200211,0.553887956,43.7576495
