,R1_CB,R1_MC,R1_PA,cap,volt,mass,ptime,pre_volt,pre_peak,I_Max,charge_tot,I_Final,GYield,Yield,Material
139,0.0,0.0,0.0,150.0,199.0,433.0,68.0,85.0,85.0,150.1284,3.720483355,18.64357792,6.0606061,88.4526559,TCB
140,0.0,0.0,0.0,114.0,171.0,299.0,196.0,140.0,80.0,173.0556,8.27967902,26.29234113,7.0707071,72.5752508,TCB
141,0.0,0.0,0.0,60.0,214.0,286.0,339.0,40.0,40.0,86.31414,8.709710651,13.67167995,28.282828300000002,69.2307692,TCB
142,0.0,0.0,0.0,132.0,158.0,313.0,361.0,100.0,50.0,78.2896,10.51993061,18.68461772,45.4545455,84.02555910000001,TCB
143,0.0,0.0,0.0,150.0,229.0,378.0,81.0,210.0,105.0,377.4904,8.053360668,14.84651797,32.3232323,78.5714286,TCB
144,0.0,0.0,0.0,78.0,197.0,361.0,405.0,150.0,50.0,94.33868,15.00000888,42.32171368,54.5454545,62.3268698,TCB
145,0.0,0.0,0.0,78.0,213.0,301.0,234.0,270.0,90.0,273.5535,9.090762592,15.21052543,46.4646465,78.0730897,TCB
146,0.0,0.0,0.0,132.0,194.0,415.0,434.0,225.0,100.0,192.9259,16.96749922,21.31581949,42.4242424,70.1204819,TCB
147,0.0,0.0,0.0,150.0,209.0,267.0,275.0,55.0,55.0,97.39565,8.976233737,21.71999788,50.5050505,73.7827715,TCB
148,0.0,0.0,0.0,168.0,187.0,398.0,265.0,60.0,60.0,69.50081,10.96917103,52.6889269,18.1818182,63.8190955,TCB
149,0.0,0.0,0.0,78.0,153.0,265.0,510.0,180.0,90.0,171.5271,14.3190678,9.839962613,35.353535400000005,80.0,TCB
150,0.0,0.0,0.0,96.0,198.0,419.0,372.0,210.0,70.0,139.0469,16.6122898,20.54645907,54.5454545,73.7470167,TCB
151,0.0,0.0,0.0,114.0,193.0,340.0,377.0,270.0,9.0,271.2608,12.42174427,14.75759839,28.282828300000002,75.0,TCB
152,0.0,0.0,0.0,78.0,196.0,357.0,357.0,150.0,50.0,94.33868,7.800418436,10.25945506,47.4747475,82.0728291,TCB
153,0.0,0.0,0.0,96.0,197.0,421.0,373.0,55.0,55.0,49.24839,7.072263418,9.894873417,18.1818182,85.7482185,TCB
154,0.0,0.0,0.0,150.0,208.0,270.0,283.0,55.0,55.0,94.7208,15.77308746,40.39432856,52.52525249999999,54.074074100000004,TCB
155,0.0,0.0,0.0,96.0,198.0,419.0,319.0,225.0,100.0,213.9426,7.9717382,18.19252327,35.353535400000005,70.64439139999999,TCB
156,0.0,0.0,0.0,150.0,208.0,278.0,287.0,150.0,50.0,155.4781,12.22568843,17.91895387,41.4141414,63.3093525,TCB
157,0.0,0.0,0.0,96.0,202.0,419.0,372.0,60.0,60.0,57.65506,7.831231688,16.39609105,17.1717172,75.6563246,TCB
